VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA0K,Thurston,Tumwater,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,242565116,POINT (-122.91310169999997 47.01359260000004),PUGET SOUND ENERGY INC,53067010910
1N4BZ1DV4N,Island,Clinton,WA,98236,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,183272785,POINT (-122.35936399999997 47.97965520000008),PUGET SOUND ENERGY INC,53029972000
5YJ3E1EA0L,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,44,112552366,POINT (-122.09150499999998 47.91555500000004),PUGET SOUND ENERGY INC,53061052502
5YJ3E1EBXL,King,Seattle,WA,98134,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,11,6336319,POINT (-122.32981499999994 47.579810000000066),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJSA1CP0D,Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,186212960,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050403
WBY7Z8C5XJ,Chelan,Manson,WA,98831,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,12,215122904,POINT (-120.1531 47.88550500000008),PUD NO 1 OF CHELAN COUNTY,53007960400
5YJ3E1EC1L,Snohomish,Marysville,WA,98271,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,38,110992472,POINT (-122.17138469999998 48.10433000000006),PUGET SOUND ENERGY INC,53061053102
WA1F2AFY7M,Snohomish,Edmonds,WA,98026,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,21,138909032,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061050300
JTDKARFPXK,Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,272310279,POINT (-122.89691999999997 47.04353500000008),PUGET SOUND ENERGY INC,53067010700
1N4AZ1CP2J,Thurston,Lacey,WA,98503,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,235573929,POINT (-122.82849999999996 47.036460000000034),PUGET SOUND ENERGY INC,53067011422
